RoutePair,TotalPax,cumulative_pax,cumulative_pct,route_rank
KOLKATA - MUMBAI (MUMBAI),738410.0,1226389308.0,90.7241771707005,244
HYDERABAD - VADODARA,738371.0,1227127679.0,90.77879938648853,245
CHENNAI - MUMBAI (MUMBAI),735573.0,1227863252.0,90.83321461559943,246
CHENNAI - SHIRDI,733644.0,1228596896.0,90.8874871437453,247
BENGALURU - JODHPUR,729719.0,1229326615.0,90.9414693135253,248
DARBHANGA - MUMBAI,722407.0,1230049022.0,90.99491056601326,249
PATNA - PUNE,707667.0,1230756689.0,91.0472614026253,250
AMRITSAR - BENGALURU,706307.0,1231462996.0,91.09951163098826,251
AGARTALA - BENGALURU,705451.0,1232168447.0,91.15169853533564,252
BENGALURU - TIRUCHIRAPALLY,705132.0,1232873579.0,91.20386184113049,253
HYDERABAD - UDAIPUR,696965.0,1233570544.0,91.25542097959435,254
JABALPUR - MUMBAI,690091.0,1234260635.0,91.30647160254051,255
CHANDIGARH - DABOLIM,685435.0,1234946070.0,91.35717779018691,256
HYDERABAD - MUMBAI (MUMBAI),680637.0,1235626707.0,91.40752903784876,257
DABOLIM - INDORE,678081.0,1236304788.0,91.45769120118366,258
DABOLIM - LUCKNOW,677086.0,1236981874.0,91.50777975774812,259
AYODHYA INTERNATIONAL AIRPORT  - DELHI,658675.0,1237640549.0,91.55650633014083,260
HYDERABAD - PORT BLAIR,652267.0,1238292816.0,91.60475886013647,261
DELHI - DURGAPUR,650074.0,1238942890.0,91.6528491593305,262
BENGALURU - RAJAHMUNDRY,649809.0,1239592699.0,91.70091985471127,263
KOCHI - TRIVANDRUM,648303.0,1240241002.0,91.74887914125154,264
AHMEDABAD - MUMBAI (MUMBAI),646408.0,1240887410.0,91.796698242033,265
BHUBANESWAR - PUNE,642630.0,1241530040.0,91.84423785901669,266
DELHI - JHARSUGUDA,642197.0,1242172237.0,91.8917454441093,267
ALLAHABAD - MUMBAI,640652.0,1242812889.0,91.93913873527192,268
INDORE - NAGPUR,629890.0,1243442779.0,91.98573588968715,269
CHANDIGARH - CHENNAI,629332.0,1244072111.0,92.0322917651296,270
GOA - KOLKATA,627586.0,1244699697.0,92.07871847733463,271
BENGALURU - GORAKHPUR,624555.0,1245324252.0,92.12492096630223,272
JAIPUR - UDAIPUR,618261.0,1245942513.0,92.17065784621127,273
KANNUR - MUMBAI,607514.0,1246550027.0,92.21559969902273,274
JAIPUR - SURAT,603431.0,1247153458.0,92.26023950515703,275
HYDERABAD - NAGPUR,603071.0,1247756529.0,92.30485267969598,276
CHENNAI - RANCHI,598680.0,1248355209.0,92.34914102274843,277
AHMEDABAD - NAGPUR,582396.0,1248937605.0,92.3922247299716,278
BENGALURU - DEHRA DUN,581537.0,1249519142.0,92.43524489124923,279
AURANGABAD - HYDERABAD,579822.0,1250098964.0,92.47813818256571,280
CHANDIGARH - JAIPUR,578466.0,1250677430.0,92.52093116153975,281
DELHI - DIMAPUR,571479.0,1251248909.0,92.5632072656342,282
DELHI - TIRUPATI,570910.0,1251819819.0,92.60544127701269,283
BENGALURU - SRINAGAR,567171.0,1252386990.0,92.6473986896829,284
COIMBATORE - PUNE,567058.0,1252954048.0,92.68934774299123,285
ALLAHABAD - BENGALURU,557273.0,1253511321.0,92.73057293474287,286
BENGALURU - DEHRADUN,549753.0,1254061074.0,92.77124182205847,287
JAMMU - LEH,540270.0,1254601344.0,92.81120918876681,288
CHENNAI - RAIPUR,535508.0,1255136852.0,92.8508242786501,289
BENGALURU - DARBHANGA,522871.0,1255659723.0,92.88950452556026,290
CHENNAI - MANGALORE,519655.0,1256179378.0,92.92794686355204,291
HYDERABAD - JABALPUR,516173.0,1256695551.0,92.96613161483555,292
DELHI - KANPUR,515116.0,1257210667.0,93.00423817279606,293
BENGALURU - DURGAPUR,508804.0,1257719471.0,93.04187779011826,294
PUNE - RANCHI,505991.0,1258225462.0,93.07930931111355,295
